name,score,description,amenities
Courtyard Lima Miraflores,4,,"Estacionamiento privado pagado en el predio,Wifi,Gimnasio / Sala de entrenamiento,Bar/Salón,Alquiler de bicicletas,Los niños se alojan gratis,Cadenas de televisión para niños,Transporte al aeropuerto,Garaje de estacionamientos,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bufé apto para niños,Comidas para niños,Bar de aperitivos,Alquiler de autos,Servicio de taxi,Salas de reuniones,Seguridad las 24 horas,Almacenamiento de equipaje,Minimercado,Periódico,Hotel para no fumadores,Sala de estar o con TV compartida,Recepción disponible las 24 horas,Check-in y check-out exprés,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitaciones insonorizadas,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Instalaciones de habitación VIP,Minibar,TV pantalla plana,Botellas de agua,Plancha,Caja de seguridad para computadora portátil,Servicio de despertador/Reloj despertador,Habitaciones para no fumadores,Suites,Habitaciones para familias"
3B Barranco's - Chic and Basic - B&B,5,,"Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Transporte al aeropuerto,Seguridad las 24 horas,Almacenamiento de equipaje,Check-in las 24 horas,Recepción disponible las 24 horas,Servicio de lavandería,Wifi,Servicio de taxi,Hotel para no fumadores,Servicio de planchado,Cortinas blackout,Escritorio,Servicio de limpieza,Caja fuerte,Teléfono,TV por cable/satélite,TV pantalla plana,Bañera/Ducha,Estante para la ropa,Baños privados,Productos de tocador de cortesía,Secador de pelo,Habitaciones para no fumadores"
Bed & Breakfast de Kike,5,,"Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Desayuno disponible,Transporte gratis al aeropuerto,Transporte al aeropuerto,Servicio de traslado en autobús,Servicio de lavandería,Habitaciones para no fumadores,Habitaciones para familias"
Dazzler by Wyndham Lima San Isidro,5,,"Estacionamiento,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Desayuno gratis,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Centro de negocios con acceso a Internet,Wifi,Bañera de hidromasaje,Piscina en la terraza,Piscina al aire libre,Bar/Salón,Restaurante,Desayuno bufet,Servicio de taxi,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Solárium,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Habitaciones insonorizadas,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV por cable/satélite,Camas extralargas,Bañera/Ducha,Servicio a la habitación,Caja fuerte,Teléfono,TV pantalla plana,Productos de tocador de cortesía,Secador de pelo,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias"
Residencial Miraflores B&B,5,,"Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Bicicletas disponibles,Transporte al aeropuerto,Almacenamiento de equipaje,Hotel para no fumadores,Recepción disponible las 24 horas,Check-in y check-out exprés,Wifi,Wifi con cargo adicional,Cocina compartida,Sala de estar o con TV compartida,Terraza solárium,Check-in y check-out privado,Aire acondicionado,TV pantalla plana,Habitaciones para no fumadores,Habitaciones para familias"
"Miraflores Park, A Belmond Hotel",5,,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Piscina,Gimnasio / Sala de entrenamiento,Bar/Salón,Bicicletas disponibles,Los niños se alojan gratis,Guardería,Estacionamiento con servicio de valet,Wifi,Toallas para la piscina/playa,Piscina con vista,Piscina al aire libre,Piscina climatizada,Piscina privada,Sauna,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Té de cortesía,Comedor al aire libre,Bar de aperitivos,Menús para dietas especiales,Vino/Champagne,Bar junto a la piscina,Bar en la terraza,Cadenas de televisión para niños,Alquiler de autos,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Spa,Envoltura corporal,Masaje en pareja,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje de cabeza,Manicura,Masaje,Pedicura,Salón de belleza,Sala de vapor,Servicios de depilación,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Cambio de divisas,Acceso a sala de estar ejecutiva,Periódico,Tiendas,Solárium,Terraza solárium,Sombrillas,Servicio de mayordomo,Portero,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Check-in y check-out privado,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Servicio de limpieza,Máquina de café/té,TV por cable/satélite,Bañera/Ducha,Habitaciones insonorizadas,Batas de baño,Habitaciones interconectadas disponibles,Servicio a la habitación,Caja fuerte,Sala de estar,Sofá,Teléfono,Guardarropa/Ropero,Botellas de agua,Plancha,Caja de seguridad para computadora portátil,Baños privados,Piso de azulejos/mármol,Servicio de despertador/Reloj despertador,Minibar,TV pantalla plana,Películas a pedido,Radio,Base de conexión para el iPod,Productos de tocador de cortesía,Secador de pelo,Vista a la ciudad,Suite nupcial,Habitaciones para no fumadores,Suites"
Beraja Family Hostel,5,,"Estacionamiento público gratuito cercano,Internet de alta velocidad gratuito (WiFi),Desayuno gratis,Juegos de mesa/Rompecabezas,Libros, DVD, música para niños,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Terraza en la azotea,Estacionamiento en la calle,Wifi,Bar/Salón,Cafetería,Restaurante,Desayuno disponible,Comidas para niños,Bar de aperitivos,Menús para dietas especiales,Máquina expendedora,Instalaciones para hacer parrillas,Almacenamiento de equipaje,Hotel para no fumadores,Muebles de exterior,Baño compartido,Cocina compartida,Sala de estar o con TV compartida,Servicio de lavandería,Servicio de planchado,Plancha,Secador de pelo,Habitaciones para no fumadores,Habitaciones para familias"
Lima Backpackers,5,,"Estacionamiento en la calle,Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Bar/Salón,Juegos de mesa/Rompecabezas,Solo para adultos,Terraza en la azotea,Desayuno disponible,Café instantáneo de cortesía,Té de cortesía,Bar en la terraza,Seguridad las 24 horas,Almacenamiento de equipaje,Cocina compartida,Sala de estar o con TV compartida,Cortinas blackout,Servicio de limpieza,Caja fuerte,Estante para la ropa,Baños privados,Máquina de café/té,Bañera/Ducha,Productos de tocador de cortesía,Secador de pelo,Habitaciones para no fumadores"
Belma Boutique Bed and Breakfast,5,,"Internet de alta velocidad gratuito (WiFi),Wifi,Desayuno gratis,Desayuno disponible,Actividades infantiles (Ideal para niños / familias),Check-in y check-out privado,Caja fuerte,Habitaciones para no fumadores"
Radisson Red Miraflores,5,,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Sala de juegos,Billar,Se admiten mascotas (Se aceptan perros / mascotas),Almacenamiento de equipaje,Estacionamiento en la calle,Internet,Bar/Salón,Restaurante,Desayuno disponible,Té de cortesía,Bar en la terraza,Check-in las 24 horas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Habitación libre de alérgenos,Cortinas blackout,Aire acondicionado,Escritorio,Máquina de café/té,TV por cable/satélite,Camas extralargas,Ducha a ras de suelo,Habitaciones insonorizadas,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Teléfono,Guardarropa/Ropero,Botellas de agua,Plancha,Caja de seguridad para computadora portátil,Baños privados,Minibar,TV pantalla plana,Productos de tocador de cortesía,Secador de pelo,Vista a la ciudad,Habitaciones para no fumadores"
Fairfield Lima Miraflores,5,,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Desayuno gratis,Alquiler de bicicletas,Se admiten mascotas (Se aceptan perros / mascotas),Centro de negocios con acceso a Internet,Instalaciones para conferencias,Estacionamiento en la calle,Wifi,Bar/Salón,Restaurante,Desayuno disponible,Desayuno en la habitación,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Minimercado,Cambio de divisas,Hotel para no fumadores,Muebles de exterior,Zona de picnic,Terraza solárium,Kit de primeros auxilios,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Aire acondicionado,Servicio a la habitación,Caja fuerte,Bañera/Ducha,Vista a la ciudad"
Hotel Carrera,3,,"Estacionamiento con servicio de valet,Internet de alta velocidad gratuito (WiFi),Bañera de hidromasaje,Desayuno gratis,Sala de juegos,Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Centro de negocios con acceso a Internet,Wifi,Bar/Salón,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Alquiler de autos,Salón de banquetes,Salas de reuniones,Salón de belleza,Almacenamiento de equipaje,Conserje,Cambio de divisas,Hotel para no fumadores,Tiendas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Lavandería de autoservicio,Servicio de planchado,Servicio de lustrado de zapatos,Aire acondicionado,Servicio a la habitación,Caja fuerte,Plancha,Minibar,Bañera/Ducha,Suite nupcial,Habitaciones para no fumadores,Habitaciones para familias"
